season,episode_num,title,imdb_rating,total_votes,us_viewers,original_air_date,directed_by,written_by
4,15,House's Head,9.8,9318,14840000,12-May-08,Greg Yaitanes,Story by: Doris EganTeleplay by: Peter Blake & David Foster & Russel Friend & Garrett Lerner
4,16,Wilson's Heart,9.8,8768,16160000,19-May-08,Katie Jacobs,"Peter Blake, David Foster, Russel Friend & Garrett Lerner"
5,1,Broken,9.7,8376,14770000,21 Sep. 2009,Deran Sarafian,Eli Attie
1,21,Three Stories,9.6,7221,17680000,17-May-05,Paris Barclay,David Shore
8,22,Everybody Dies,9.3,5471,8720000,21-May-12,David Shore,David Shore & Peter Blake & Eli Attie
1,1,Pilot,8.6,4987,7050000,16 Nov. 2004,Bryan Singer,David Shore
3,12,"One Day, One Room",9.1,4974,27340000,30 Jan. 2007,Juan J. Campanella,David Shore
5,24,Both Sides Now,9.6,4968,12740000,11-May-09,Greg Yaitanes,Doris Egan
2,24,No Reason,9.5,4835,25470000,23-May-06,David Shore,Story by: Lawrence Kaplow & David ShoreTeleplay by: David Shore
6,21,Help Me,9.6,4522,9290000,17-May-10,David Straiton,Doris Egan & David Foster
